latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
43.690685,-79.41174,175.0,-18000,America/New_York,EST

time,weather_code (wmo code),temperature_2m_max (°C),temperature_2m_min (°C),temperature_2m_mean (°C),sunrise (iso8601),sunset (iso8601),daylight_duration (s),sunshine_duration (s),precipitation_sum (mm),rain_sum (mm),snowfall_sum (cm),precipitation_hours (h),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°),shortwave_radiation_sum (MJ/m²),et0_fao_evapotranspiration (mm)
2014-01-01,71,-9.3,-15.3,-11.6,2014-01-01T07:51,2014-01-01T16:51,32398.18,22507.94,0.00,0.00,0.21,0.0,18.0,32.0,332,5.86,0.49
2014-01-02,73,-15.4,-19.8,-17.8,2014-01-02T07:51,2014-01-02T16:52,32448.63,0.00,2.50,0.00,2.24,13.0,23.1,43.9,17,3.19,0.28
2014-01-03,3,-11.4,-23.2,-18.3,2014-01-03T07:51,2014-01-03T16:53,32503.12,28492.53,0.00,0.00,0.00,0.0,20.3,39.2,324,8.38,0.38
2014-01-04,71,-1.7,-10.3,-5.1,2014-01-04T07:51,2014-01-04T16:54,32561.61,24763.56,0.20,0.00,0.35,2.0,28.2,52.9,211,6.62,0.85
2014-01-05,75,1.5,-2.3,-1.1,2014-01-05T07:51,2014-01-05T16:54,32624.29,0.00,12.20,1.80,7.35,23.0,20.6,52.2,115,3.05,0.35
2014-01-06,73,3.3,-14.3,-6.2,2014-01-06T07:51,2014-01-06T16:55,32691.81,26883.90,6.50,4.60,1.54,9.0,35.4,61.2,264,6.88,0.57
2014-01-07,71,-15.0,-21.2,-18.3,2014-01-07T07:50,2014-01-07T16:56,32764.04,27931.91,0.00,0.00,0.07,0.0,38.7,65.9,244,8.20,0.36
2014-01-08,3,-8.5,-17.8,-13.3,2014-01-08T07:50,2014-01-08T16:58,32840.80,24068.29,0.00,0.00,0.00,0.0,22.8,43.6,237,7.52,0.46
2014-01-09,3,-6.2,-12.9,-9.9,2014-01-09T07:50,2014-01-09T16:59,32921.92,28964.54,0.00,0.00,0.00,0.0,13.6,22.7,227,8.71,0.49
2014-01-10,71,1.6,-6.7,-2.2,2014-01-10T07:50,2014-01-10T17:00,33007.21,2893.66,1.40,0.00,1.12,8.0,11.5,23.4,153,3.83,0.32
